
***** results of dimnesion 200 *****
MatchingRate for Rank 15 is 62.974684 
MatchingRate for Rank 16 is 63.607595 
MatchingRate for Rank 17 is 64.556962 
MatchingRate for Rank 18 is 66.139241 
MatchingRate for Rank 19 is 67.405063 
MatchingRate for Rank 20 is 68.354430 

***** results of dimnesion 100 *****
MatchingRate for Rank 1 is 14.556962 
MatchingRate for Rank 2 is 24.050633 
MatchingRate for Rank 3 is 31.012658 
MatchingRate for Rank 4 is 34.810127 
MatchingRate for Rank 5 is 39.240506 
MatchingRate for Rank 6 is 42.405063 
MatchingRate for Rank 7 is 47.468354 
MatchingRate for Rank 8 is 50.632911 
MatchingRate for Rank 9 is 53.164557 
MatchingRate for Rank 10 is 56.012658 
MatchingRate for Rank 11 is 58.860759 
MatchingRate for Rank 12 is 61.392405 
MatchingRate for Rank 13 is 62.974684 
MatchingRate for Rank 14 is 63.924051 
MatchingRate for Rank 15 is 64.873418 
MatchingRate for Rank 16 is 66.139241 
MatchingRate for Rank 17 is 68.037975 
MatchingRate for Rank 18 is 70.253165 
MatchingRate for Rank 19 is 72.468354 
MatchingRate for Rank 20 is 73.101266 

***** results of dimnesion 100 *****
MatchingRate for Rank 1 is 13.607595 
MatchingRate for Rank 2 is 22.468354 
MatchingRate for Rank 3 is 28.481013 
MatchingRate for Rank 4 is 33.544304 
MatchingRate for Rank 5 is 37.025316 
MatchingRate for Rank 6 is 39.873418 
MatchingRate for Rank 7 is 41.455696 
MatchingRate for Rank 8 is 45.253165 
MatchingRate for Rank 9 is 48.734177 
MatchingRate for Rank 10 is 50.632911 
MatchingRate for Rank 11 is 52.215190 
MatchingRate for Rank 12 is 56.329114 
MatchingRate for Rank 13 is 57.594937 
MatchingRate for Rank 14 is 60.443038 
MatchingRate for Rank 15 is 62.341772 
MatchingRate for Rank 16 is 64.873418 
MatchingRate for Rank 17 is 67.405063 
MatchingRate for Rank 18 is 68.354430 
MatchingRate for Rank 19 is 68.987342 
MatchingRate for Rank 20 is 69.620253 

***** results of dimnesion 100 *****
MatchingRate for Rank 1 is 13.607595 
MatchingRate for Rank 2 is 19.936709 
MatchingRate for Rank 3 is 25.316456 
MatchingRate for Rank 4 is 27.848101 
MatchingRate for Rank 5 is 30.696203 
MatchingRate for Rank 6 is 34.810127 
MatchingRate for Rank 7 is 39.556962 
MatchingRate for Rank 8 is 42.405063 
MatchingRate for Rank 9 is 45.569620 
MatchingRate for Rank 10 is 47.468354 
MatchingRate for Rank 11 is 49.683544 
MatchingRate for Rank 12 is 51.898734 
MatchingRate for Rank 13 is 56.012658 
MatchingRate for Rank 14 is 59.810127 
MatchingRate for Rank 15 is 62.025316 
MatchingRate for Rank 16 is 63.924051 
MatchingRate for Rank 17 is 64.873418 
MatchingRate for Rank 18 is 65.506329 
MatchingRate for Rank 19 is 65.822785 
